0.000000000000000000e+00,5.000000000000000000e-01,6.015625000000000000e-01,7.031250000000000000e-01,8.046875000000000000e-01,9.062500000000000000e-01,1.007812500000000000e+00,1.109375000000000000e+00,1.210937500000000000e+00,1.312500000000000000e+00,1.414062500000000000e+00,1.515625000000000000e+00,1.617187500000000000e+00,1.718750000000000000e+00,1.820312500000000000e+00,1.921875000000000000e+00,2.023437500000000000e+00,2.125000000000000000e+00,2.226562500000000000e+00,2.328125000000000000e+00,2.429687500000000000e+00,2.531250000000000000e+00,2.632812500000000000e+00,2.734375000000000000e+00,2.835937500000000000e+00,2.937500000000000000e+00,3.039062500000000000e+00,3.140625000000000000e+00,3.242187500000000000e+00,3.343750000000000000e+00,3.445312500000000000e+00,3.546875000000000000e+00,3.648437500000000000e+00,3.750000000000000000e+00,3.851562500000000000e+00,3.953125000000000000e+00,4.054687500000000000e+00,4.156250000000000000e+00,4.257812500000000000e+00,4.359375000000000000e+00,4.460937500000000000e+00,4.562500000000000000e+00,4.664062500000000000e+00,4.765625000000000000e+00,4.867187500000000000e+00,4.968750000000000000e+00,5.070312500000000000e+00,5.171875000000000000e+00,5.273437500000000000e+00,5.375000000000000000e+00,5.476562500000000000e+00,5.578125000000000000e+00,5.679687500000000000e+00,5.781250000000000000e+00,5.882812500000000000e+00,5.984375000000000000e+00,6.085937500000000000e+00,6.187500000000000000e+00,6.289062500000000000e+00,6.390625000000000000e+00,6.492187500000000000e+00,6.593750000000000000e+00,6.695312500000000000e+00,6.796875000000000000e+00,6.898437500000000000e+00,7.000000000000000000e+00
0.000000000000000000e+00,0,0,0,0,0,0.204378,0.023305,0.0547438,0.0879994,0.555674,0.219448,0.276073,1.22211,1.32996,0.966614,0.352689,0.819362,0.908334,2.06503,1.84216,1.45154,1.49355,1.34016,2.00238,1.43391,1.97722,1.65624,1.2949,0.620727,0.60087,1.12342,0.487223,1.0947,0.21226,2.76246,2.59096,1.73534,2.28879,2.61669,0.769937,0.608566,0.460372,0.694284,0.402457,2.17387,0.830855,1.10862,1.02694,0.552275,1.11043,1.49632,1.37429,1.39464,1.51298,0,0,0,0,0,0,0,0,0,0,0
3.333333333333333547e-03,0.00255423,0.00369091,0.00503214,0.00657539,0.0083178,0.709323,0.323203,0.0147061,0.102926,0.219689,0.200841,0.687696,0.233617,0.0989878,3.06784,0.369405,0.704604,0.715707,0.875638,1.30633,1.59329,1.37629,1.05664,1.7212,0.84253,1.42218,0.870832,0.688644,0.752711,0.834475,1.31791,1.06021,1.39366,1.38604,1.40797,3.25181,2.50137,2.00425,1.73824,0.685475,1.21382,0.87792,0.2311,0.343984,0.716946,1.39112,0.939388,1.03209,1.07452,0.94363,1.45907,1.45023,1.41905,1.57231,0.236298,0.241437,0.246537,0.251595,0.256611,0.261584,0.266511,0.271392,0.276225,0.28101,0.285747
6.666666666666667095e-03,0.00510852,0.0073819,0.0100644,0.0131509,0.0166358,0.352103,0.288153,0.257467,0.174361,0.283628,0.14788,0.502213,0.707769,0.0690232,0.382035,0.305713,0.738336,1.42816,0.993,1.04375,1.44844,1.32551,1.12503,1.76763,1.05777,1.52566,1.21652,1.04809,0.610411,0.738731,0.982723,1.20389,0.848716,1.25619,0.869095,1.40113,2.67798,1.79765,1.21062,0.846055,0.858846,0.841288,0.556755,0.342241,1.21071,0.987734,1.22485,0.904757,0.751707,1.0505,1.20156,1.45164,1.3469,1.42276,0.472335,0.482589,0.492763,0.502853,0.512858,0.522773,0.532597,0.542327,0.551961,0.561496,0.570933
1.000000000000000021e-02,0.00766292,0.011073,0.0150968,0.0197267,0.0249541,0.607108,0.175061,0.0262807,0.654707,0.35346,0.1859,0.0989852,0.0812743,0.193895,0.276578,0.392932,0.751813,0.997946,1.08925,0.89651,1.60288,1.44159,0.963697,0.906057,0.891412,1.13498,0.908077,0.589157,0.681257,0.746115,1.35013,0.975892,1.01402,1.56068,1.37408,2.2371,2.66848,1.66775,0.939236,1.25786,0.461055,1.31169,0.372464,0.298541,0.637693,0.56734,0.862499,1.0918,0.829491,1.00701,1.06969,1.24174,1.37969,1.48105,0.707846,0.723168,0.738366,0.753437,0.768374,0.783174,0.797834,0.812348,0.826716,0.840932,0.854996
1.333333333333333419e-02,0.0102175,0.0147644,0.0201296,0.0263029,0.0332729,0.905693,0.170601,0.0609089,0.0701589,0.334062,0.165368,0.170105,1.07178,0.427603,1.90391,0.40684,0.870827,1.00206,0.663507,0.67845,1.77018,1.15402,1.03477,1.327,0.791436,1.73557,1.49379,0.69989,0.726305,0.597972,0.857858,0.749946,0.747247,1.34384,1.29195,2.22383,2.52693,1.2857,0.763846,0.186322,0.477934,0.515602,0.316686,0.346181,0.245781,0.888343,0.670612,0.29513,0.895249,1.10479,0.840945,1.08418,1.30299,1.5608,0.942567,0.962886,0.983034,1.003,1.02279,1.04239,1.06179,1.081,1.1,1.11879,1.13737
1.666666666666666644e-02,0.0127723,0.0184561,0.0251628,0.0328797,0.0415924,0.673179,0.276415,0.132231,0.0838171,0.272647,0.172103,0.78369,0.408203,0.303295,0.958677,0.357084,0.905789,0.877862,0.805883,1.11131,1.62847,1.58436,0.819901,0.866083,1.20757,1.33358,1.02544,0.806491,0.740576,0.593139,0.940822,0.604976,1.85496,1.01654,0.944918,1.58073,0.947956,1.74661,1.62493,1.08971,0.543443,0.38627,0.488435,0.49841,0.318239,0.385864,0.36911,1.06428,1.25713,1.21716,0.853608,0.976088,1.31328,1.46129,1.17623,1.20145,1.22645,1.25121,1.27574,1.30002,1.32404,1.34781,1.37131,1.39454,1.4175
2.000000000000000042e-02,0.0153273,0.0221482,0.0301966,0.0394572,0.0499128,0.35026,0.191869,0.212256,0.195245,0.304721,0.175027,0.602084,0.283462,0.471643,0.382127,0.511991,0.90252,1.05236,1.12145,1.21304,1.46214,1.38364,0.742579,1.1358,0.8977,1.54786,1.069,0.960075,0.809925,0.754693,0.587783,0.704141,0.241857,1.38999,1.31842,1.47223,1.0579,1.15047,0.825098,0.804708,0.556867,0.79634,0.751045,0.49035,0.437219,0.540802,0.36212,0.91106,1.26084,0.505312,0.620884,0.844617,1.33753,1.68583,1.40857,1.43857,1.46829,1.49772,1.52684,1.55566,1.58415,1.61232,1.64015,1.66765,1.6948
2.333333333333333440e-02,0.0178827,0.0258408,0.0352309,0.0460355,0.0582342,0.456508,0.438192,0.0887833,0.274905,0.223318,0.137889,0.454385,0.40064,0.226318,1.33177,0.480233,0.96235,1.22296,0.615385,0.778594,1.40149,1.245,0.949578,0.872317,0.781182,0.672797,0.821424,0.678037,0.868778,0.519364,0.351597,0.969089,0.837539,1.18715,1.11053,2.09334,0.952079,1.8437,1.11257,0.825775,0.691706,0.44188,0.456795,0.39424,0.678907,0.475793,0.73897,0.98363,0.678034,0.757619,0.825763,1.21686,1.20161,1.50223,1.6393,1.67394,1.70824,1.74217,1.77573,1.8089,1.84168,1.87406,1.90603,1.93758,1.96872
2.666666666666666838e-02,0.0204385,0.0295339,0.0402661,0.0526147,0.0665568,0.192929,0.148562,0.233665,0.299749,0.229968,0.16634,1.15331,0.782057,0.258658,0.286717,0.427295,0.940978,1.23419,1.3167,1.40251,1.75396,1.54127,1.38052,0.720087,0.987415,0.795622,0.686744,0.535155,1.04344,0.671266,0.95711,1.4697,1.68049,1.10071,1.47569,1.04074,1.30434,0.915217,0.855542,0.700205,0.375209,0.491018,0.512777,0.583555,0.568173,1.0082,0.409301,0.539321,0.688029,0.594856,0.82363,0.912258,1.2472,1.75598,1.86815,1.90726,1.94595,1.9842,2.022,2.05933,2.09618,2.13255,2.16843,2.2038,2.23867
